Date Time	Open	Low	High	Close	Volume	
04-08-2020 09:15:00	10940	10921.05	10960.8	10955.05	548328
04-08-2020 09:20:00	10956.45	10936.95	10960	10943.2	232350
04-08-2020 09:25:00	10943.2	10930	10945.45	10937.35	272400
04-08-2020 09:30:00	10937.15	10912.35	10937.15	10919	390900
04-08-2020 09:35:00	10918.55	10917	10934.95	10932.3	169500
04-08-2020 09:40:00	10933.85	10933	10950.2	10948.45	274425
04-08-2020 09:45:00	10949.85	10948	10967.55	10965.8	413775
04-08-2020 09:50:00	10965.35	10958.95	10974	10963.4	323175
04-08-2020 09:55:00	10963.4	10963.05	10969.9	10967	132600
04-08-2020 10:00:00	10967.35	10962.9	10977.85	10977.55	222375
04-08-2020 10:05:00	10975.25	10967	10976.6	10970.6	170625
04-08-2020 10:10:00	10970.45	10968.7	10981.8	10977.4	199800
04-08-2020 10:15:00	10978	10968.8	10982.8	10969.8	182700
04-08-2020 10:20:00	10969.8	10968.8	10989.6	10988	160275
04-08-2020 10:25:00	10986.85	10984.8	10995	10994.6	257850
04-08-2020 10:30:00	10994.7	10988.65	11020	11012.8	497925
04-08-2020 10:35:00	11014.75	11010.75	11024	11014	203100
04-08-2020 10:40:00	11015.95	11000.05	11019	11010	205875
04-08-2020 10:45:00	11010.25	11005.6	11018	11015.2	133200
04-08-2020 10:50:00	11015.1	11012.3	11024.4	11020.6	180225
04-08-2020 10:55:00	11022.65	11011.8	11022.8	11013	139800
04-08-2020 11:00:00	11011.65	11006.3	11015.9	11009	122925
04-08-2020 11:05:00	11010	11007	11016.4	11016.05	88725
04-08-2020 11:10:00	11016	10996.65	11016.2	11000	124950
04-08-2020 11:15:00	11000	10999.6	11016.45	11015.95	159975
04-08-2020 11:20:00	11015.6	11015.6	11043.95	11033.5	509625
04-08-2020 11:25:00	11035	11030.6	11038	11037.6	162525
04-08-2020 11:30:00	11037.6	11035.1	11049.6	11037.1	208350
04-08-2020 11:35:00	11036.1	11032	11040.5	11040.5	103725
04-08-2020 11:40:00	11040.15	11037.2	11046.75	11044	100200
04-08-2020 11:45:00	11043.05	11040.5	11047.45	11040.75	104475
04-08-2020 11:50:00	11040.55	11037.05	11044.9	11041.85	74175
04-08-2020 11:55:00	11041	11037.6	11055.05	11048	169575
