UNDERLYING                          ,SYMBOL    ,Dec-20,Jan-21,Feb-21,Mar-21,Jun-21,Sep-21,Dec-21,Jun-22,Dec-22,Jun-23,Dec-23,Jun-24,Dec-24,Jun-25,,
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,3600,3600,3600,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""EXIDEIND.NS"","
FEDERAL BANK LTD                    ,FEDERALBNK,8500,10000,10000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""FEDERALBNK.NS"","
GAIL (INDIA) LTD                    ,GAIL      ,6100,6100,6100,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""GAIL.NS"","
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,1150,1150,1150,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""GLENMARK.NS"","
GMR INFRASTRUCTURE LTD.             ,GMRINFRA  ,22500,22500,22500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""GMRINFRA.NS"","
GODREJ PROPERTIES LTD               ,GODREJPROP,650,650,650,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""GODREJPROP.NS"","
GRASIM INDUSTRIES LTD               ,GRASIM    ,950,950,950,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""GRASIM.NS"","
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BAJAJ-AUTO.NS"","
HCL TECHNOLOGIES LTD                ,HCLTECH   ,700,700,700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HCLTECH.NS"","
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300,300,300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HINDUNILVR.NS"","
INDIABULLS HSG FIN LTD              ,IBULHSGFIN,3100,3100,3100,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""IBULHSGFIN.NS"","
ICICI BANK LTD.                     ,ICICIBANK ,1375,1375,1375,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ICICIBANK.NS"","
HAVELLS INDIA LIMITED               ,HAVELLS   ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HAVELLS.NS"","
VODAFONE IDEA LIMITED               ,IDEA      ,70000,70000,70000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""IDEA.NS"","
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,19000,19000,19000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""IDFCFIRSTB.NS"","
INDRAPRASTHA GAS LTD                ,IGL       ,1375,1375,1375,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""IGL.NS"","
INTERGLOBE AVIATION LTD             ,INDIGO    ,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""INDIGO.NS"","
INDUSIND BANK LIMITED               ,INDUSINDBK,800,900,900,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""INDUSINDBK.NS"","
BHARTI INFRATEL LTD.                ,INFRATEL  ,2800,2800,2800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""INFRATEL.NS"","
INFOSYS LIMITED                     ,INFY      ,600,600,600,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""INFY.NS"","
ITC LTD                             ,ITC       ,3200,3200,3200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ITC.NS"","
JINDAL STEEL & POWER LTD            ,JINDALSTEL,5000,5000,5000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""JINDALSTEL.NS"","
ICICI LOMBARD GIC LIMITED           ,ICICIGI   ,425,425,425,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ICICIGI.NS"","
JSW STEEL LIMITED                   ,JSWSTEEL  ,2700,2700,2700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""JSWSTEEL.NS"","
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""JUBLFOOD.NS"","
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400,400,400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""KOTAKBANK.NS"","
L&T FINANCE HOLDINGS LTD            ,L&TFH     ,6800,8300,8300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""L&TFH.NS"","
POWER FIN CORP LTD.                 ,PFC       ,6200,6200,6200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""PFC.NS"","
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""LICHSGFIN.NS"","
LARSEN & TOUBRO LTD.                ,LT        ,550,575,575,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""LT.NS"","
MAHINDRA & MAHINDRA LTD             ,M&M       ,1400,1400,1400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""M&M.NS"","
M&M FIN. SERVICES LTD               ,M&MFIN    ,3444,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""M&MFIN.NS"","
MANAPPURAM FINANCE LTD              ,MANAPPURAM,6000,6000,6000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MANAPPURAM.NS"","
MARICO LIMITED                      ,MARICO    ,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MARICO.NS"","
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,100,100,100,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MARUTI.NS"","
UNITED SPIRITS LIMITED              ,MCDOWELL-N,1250,1250,1250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MCDOWELL-N.NS"","
MAX FINANCIAL SERV LTD              ,MFSL      ,1300,1300,1300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MFSL.NS"","
REC LIMITED                         ,RECLTD    ,6000,6000,6000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""RECLTD.NS"","
MINDTREE LIMITED                    ,MINDTREE  ,800,800,800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MINDTREE.NS"","
MOTHERSON SUMI SYSTEMS LT           ,MOTHERSUMI,7000,7000,7000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MOTHERSUMI.NS"","
MRF LTD                             ,MRF       ,10,10,10,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MRF.NS"","
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,750,750,750,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MUTHOOTFIN.NS"","
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,17000,17000,17000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""NATIONALUM.NS"","
RELIANCE INDUSTRIES LTD             ,RELIANCE  ,505,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""RELIANCE.NS"","
INFO EDGE (I) LTD                   ,NAUKRI    ,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""NAUKRI.NS"","
NESTLE INDIA LIMITED                ,NESTLEIND ,50,50,50,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""NESTLEIND.NS"","
NMDC LTD.                           ,NMDC      ,6700,6700,6700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""NMDC.NS"","
NTPC LTD                            ,NTPC      ,5700,5700,5700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""NTPC.NS"","
SHRIRAM TRANSPORT FIN CO.           ,SRTRANSFIN,667,800,800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SRTRANSFIN.NS"","
OIL AND NATURAL GAS CORP.           ,ONGC      ,7700,7700,7700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ONGC.NS"","
VOLTAS LTD                          ,VOLTAS    ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""VOLTAS.NS"","
PAGE INDUSTRIES LTD                 ,PAGEIND   ,30,30,30,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""PAGEIND.NS"","
PIRAMAL ENTERPRISES LTD             ,PEL       ,550,550,550,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""PEL.NS"","
PETRONET LNG LIMITED                ,PETRONET  ,3000,3000,3000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""PETRONET.NS"","
PIDILITE INDUSTRIES LTD             ,PIDILITIND,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""PIDILITIND.NS"","
PUNJAB NATIONAL BANK                ,PNB       ,14000,16000,16000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""PNB.NS"","
PVR LIMITED                         ,PVR       ,407,407,407,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""PVR.NS"","
RBL BANK LIMITED                    ,RBLBANK   ,2600,2900,2900,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""RBLBANK.NS"","
STEEL AUTHORITY OF INDIA            ,SAIL      ,19000,19000,19000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SAIL.NS"","
STATE BANK OF INDIA                 ,SBIN      ,3000,3000,3000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SBIN.NS"","
SHREE CEMENT LIMITED                ,SHREECEM  ,50,50,50,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SHREECEM.NS"","
SIEMENS LTD                         ,SIEMENS   ,550,550,550,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SIEMENS.NS"","
SRF LTD                             ,SRF       ,125,125,125,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SRF.NS"","
SUN TV NETWORK LIMITED              ,SUNTV     ,1500,1500,1500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SUNTV.NS"","
TATA CHEMICALS LTD                  ,TATACHEM  ,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TATACHEM.NS"","
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,1350,1350,1350,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TATACONSUM.NS"","
TATA POWER CO LTD                   ,TATAPOWER ,13500,13500,13500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TATAPOWER.NS"","
TATA STEEL LIMITED                  ,TATASTEEL ,1700,1700,1700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TATASTEEL.NS"","
TATA CONSULTANCY SERV LT            ,TCS       ,300,300,300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TCS.NS"","
TECH MAHINDRA LIMITED               ,TECHM     ,1200,1200,1200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TECHM.NS"","
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TORNTPHARM.NS"","
TORRENT POWER LTD                   ,TORNTPOWER,3000,3000,3000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TORNTPOWER.NS"","
TVS MOTOR COMPANY  LTD              ,TVSMOTOR  ,1400,1400,1400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TVSMOTOR.NS"","
UNITED BREWERIES LTD                ,UBL       ,700,700,700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""UBL.NS"","
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,200,200,200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ULTRACEMCO.NS"","
UPL LIMITED                         ,UPL       ,1300,1300,1300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""UPL.NS"","
VEDANTA LIMITED                     ,VEDL      ,6200,6200,6200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""VEDL.NS"","
WIPRO LTD                           ,WIPRO     ,3200,3200,3200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""WIPRO.NS"","
ZEE ENTERTAINMENT ENT LTD           ,ZEEL      ,3000,3000,3000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ZEEL.NS"","
ASIAN PAINTS LIMITED                ,ASIANPAINT,300,300,300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ASIANPAINT.NS"","
BATA INDIA LTD                      ,BATAINDIA ,550,550,550,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BATAINDIA.NS"","
BERGER PAINTS (I) LTD               ,BERGEPAINT,1100,1100,1100,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BERGEPAINT.NS"","
BHEL                                ,BHEL      ,21000,21000,21000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BHEL.NS"","
HDFC LTD                            ,HDFC      ,300,300,300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HDFC.NS"","
HDFC LIFE INS CO LTD                ,HDFCLIFE  ,1100,1100,1100,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HDFCLIFE.NS"","
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1800,1800,1800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BPCL.NS"","
DABUR INDIA LTD                     ,DABUR     ,1250,1250,1250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""DABUR.NS"","
POWER GRID CORP. LTD.               ,POWERGRID ,4000,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""POWERGRID.NS"","
THE RAMCO CEMENTS LIMITED           ,RAMCOCEM  ,850,850,850,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""RAMCOCEM.NS"","
HDFC BANK LTD                       ,HDFCBANK  ,550,550,550,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HDFCBANK.NS"","
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,4300,4300,4300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HINDALCO.NS"","
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,1500,1500,1500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ICICIPRULI.NS"","
MAHANAGAR GAS LTD.                  ,MGL       ,600,600,600,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""MGL.NS"","
SBI LIFE INSURANCE CO LTD           ,SBILIFE   ,750,750,750,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SBILIFE.NS"","
SUN PHARMACEUTICAL IND L            ,SUNPHARMA ,1400,1400,1400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""SUNPHARMA.NS"","
TATA MOTORS LIMITED                 ,TATAMOTORS,5700,5700,5700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TATAMOTORS.NS"","
TITAN COMPANY LIMITED               ,TITAN     ,750,750,750,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""TITAN.NS"","
